timestamp,query,doc_id,content_preview,hybrid_linear_rank,hybrid_linear_score,hybrid_linear_latency,rrf_rank,rrf_score,rrf_latency,semantic_only_rank,semantic_only_score,semantic_only_latency,keyword_refined_rank,keyword_refined_score,keyword_refined_latency,ai_relevant,ai_score,ai_reason
2025-12-28T23:12:24.439351,What is AI engineering?,25331,based on more sophisticated understanding of ai capabilities...,1,0.7,1082.77,1,0.0164,908.59,1,0.6181,113.95,N/A,0,0,N/A,N/A,N/A
2025-12-28T23:12:24.439937,What is AI engineering?,24435,"financial, healthcare, and digital services have also been t...",2,0.6774,1082.77,3,0.0161,908.59,2,0.5981,113.95,N/A,0,0,N/A,N/A,N/A
2025-12-28T23:12:24.439969,What is AI engineering?,20711,. agentic ai is an emerging technique where an (multimodal) ...,3,0.6723,1082.77,5,0.0159,908.59,3,0.5936,113.95,N/A,0,0,N/A,N/A,N/A
2025-12-28T23:12:24.439987,What is AI engineering?,19585,abstractï¿½ï¿½ï¿½the application of agentic ai systems in autonom,4,0.6616,1082.77,N/A,0,0,4,0.5842,113.95,N/A,0,0,N/A,N/A,N/A
2025-12-28T23:12:24.440045,What is AI engineering?,19607,"in autonomous decisionmaking, agentic ai has been used in he...",5,0.6609,1082.77,N/A,0,0,5,0.5835,113.95,N/A,0,0,N/A,N/A,N/A
2025-12-28T23:12:25.348705,What is AI engineering?,25421,". second, our find- ings emphasise the need to explicitly in...",N/A,0,0,2,0.0164,908.59,N/A,0,0,1,0.171,820.82,N/A,N/A,N/A
2025-12-28T23:12:25.348746,What is AI engineering?,23512,". among these transformations, perhaps none has been as dram...",N/A,0,0,4,0.0161,908.59,N/A,0,0,2,0.0724,820.82,N/A,N/A,N/A
2025-12-28T23:12:25.462812,What is AI engineering?,25333,"ai shapes learning across developmental stages, and guiding ...",N/A,0,0,N/A,0,0,6,0.5769,113.95,N/A,0,0,N/A,N/A,N/A
2025-12-28T23:12:25.462838,What is AI engineering?,20680,agentic explainable artificial intelligence (agentic xai) ap...,N/A,0,0,N/A,0,0,7,0.5735,113.95,N/A,0,0,N/A,N/A,N/A
2025-12-28T23:12:25.462851,What is AI engineering?,19596,combining blockchain with agentic artificial intelli- gence ...,N/A,0,0,N/A,0,0,8,0.5707,113.95,N/A,0,0,N/A,N/A,N/A
2025-12-28T23:12:25.462865,What is AI engineering?,19592,"in this paper, an agentic ai architecture is pro- posed that...",N/A,0,0,N/A,0,0,9,0.5704,113.95,N/A,0,0,N/A,N/A,N/A
2025-12-28T23:12:25.462889,What is AI engineering?,20702,explainable artificial intelligence (xai) has been used as a...,N/A,0,0,N/A,0,0,10,0.5704,113.95,N/A,0,0,N/A,N/A,N/A
2025-12-28T23:12:26.283773,What is AI engineering?,25126,"[19] j. c. ogeawuchi, a. sharma, b. i. adekunle, a. a. abayo...",N/A,0,0,N/A,0,0,N/A,0,0,3,0.0022,820.82,N/A,N/A,N/A
2025-12-28T23:12:27.339997,How does RRF work?,24868,"log pï¿½ï¿½(ï¿½ï¿½an | a<n,s,dacref,dac",1,0.7,1055.67,1,0.0164,1220.11,1,0.4505,145.31,N/A,0,0,N/A,N/A,N/A
