timestamp,query,doc_id,content_preview,hybrid_linear_rank,hybrid_linear_score,hybrid_linear_latency,rrf_rank,rrf_score,rrf_latency,semantic_only_rank,semantic_only_score,semantic_only_latency,keyword_refined_rank,keyword_refined_score,keyword_refined_latency,ai_relevant,ai_score,ai_reason
2025-12-28T21:07:58.658243,What is AI engineering?,14515,"while ai engineering is a new term, it evolved out of ml eng...",1,0.9212,2463.02,1,0.0306,1159.15,9,0.7583,106.54,2,0.5787,643.14,N/A,N/A,N/A
2025-12-28T21:07:58.660402,What is AI engineering?,13936,understand what ai engineering is and how it differs from tr...,2,0.7,2463.02,2,0.0164,1159.15,1,0.7903,106.54,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:07:58.660433,What is AI engineering?,14146,the rise of ai engineering...,3,0.6777,2463.02,5,0.0159,1159.15,8,0.7651,106.54,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:07:58.660449,What is AI engineering?,14215,the rise of ai engineering...,4,0.6777,2463.02,N/A,0,0,4,0.7651,106.54,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:07:58.660462,What is AI engineering?,14184,the rise of ai engineering...,5,0.6777,2463.02,N/A,0,0,2,0.7651,106.54,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:07:59.819699,What is AI engineering?,13971,33 maintenance 34 the ai engineering stack 35 three layers o...,N/A,0,0,3,0.0164,1159.15,N/A,0,0,1,0.696,643.14,N/A,N/A,N/A
2025-12-28T21:07:59.819730,What is AI engineering?,14229,the rise of ai engineering...,N/A,0,0,4,0.0161,1159.15,3,0.7651,106.54,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:07:59.926368,What is AI engineering?,14167,the rise of ai engineering...,N/A,0,0,N/A,0,0,5,0.7651,106.54,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:07:59.926391,What is AI engineering?,14125,the rise of ai engineering...,N/A,0,0,N/A,0,0,6,0.7651,106.54,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:07:59.926400,What is AI engineering?,14198,the rise of ai engineering...,N/A,0,0,N/A,0,0,7,0.7651,106.54,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:07:59.926420,What is AI engineering?,16551,an ai agent is meant to accomplish tasks typically provided ...,N/A,0,0,N/A,0,0,10,0.7475,106.54,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:08:00.569631,What is AI engineering?,14409,"to understand ai engineering, itï¿½ï¿½ï¿½s important to recognize",N/A,0,0,N/A,0,0,N/A,0,0,3,0.4703,643.14,N/A,N/A,N/A
2025-12-28T21:08:00.569651,What is AI engineering?,14412,regardless of where organizations position ai engineers and ...,N/A,0,0,N/A,0,0,N/A,0,0,4,0.4511,643.14,N/A,N/A,N/A
2025-12-28T21:08:00.569661,What is AI engineering?,14202,from foundation models to ai engineering ai engineering refe...,N/A,0,0,N/A,0,0,N/A,0,0,5,0.4348,643.14,N/A,N/A,N/A
2025-12-28T21:08:01.407774,How does RRF work?,17796,"utilization, mfu, and mbu...",1,0.7,837.25,1,0.0164,835.5,1,0.5244,99.07,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:08:01.407811,How does RRF work?,16367,tf-idf is an algorithm that combines these two metrics: term...,2,0.6734,837.25,2,0.0161,835.5,2,0.5045,99.07,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:08:01.407826,How does RRF work?,17807,mbu is computed as follows:...,3,0.6247,837.25,3,0.0159,835.5,3,0.468,99.07,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:08:01.407843,How does RRF work?,14818,"rlhf relies on a reward model. given a pair of (prompt, resp...",4,0.5972,837.25,4,0.0156,835.5,4,0.4474,99.07,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:08:01.407858,How does RRF work?,17802,"mfu (model flop/s utilization), which distinguishes it from ...",5,0.5869,837.25,5,0.0154,835.5,5,0.4397,99.07,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:08:02.342657,How does RRF work?,14933,this is an example of a prompt for gpt-4o to do text-to-rege...,N/A,0,0,N/A,0,0,6,0.4244,99.07,N/A,0,0,N/A,N/A,N/A
2025-12-28T21:08:02.342687,How does RRF work?,13095,ýýý <f2> represents the f2 function key and <cr> represents th...,N/A,0,0,N/A,0,0,7,0.4241,99.07,N/A,0,0,N/A,N/A,N/A
